//DATASET,
//created,Wed, 25 Apr 2018 21:19:06 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,"Electrical Signal"
#(ns),(a.u.)
0.89,0.0516142228983037
0.8925,0.044339753384847
0.895,0.0374953507555792
0.8975,0.0317400384456032
0.9,0.0275029582852893
0.9025,0.0249049198092462
0.905,0.0237480114166838
0.9075,0.0235983027865389
0.91,0.0239157758452233
0.9125,0.0242647298655189
0.915,0.0244552003729857
0.9175,0.0245436353978535
0.92,0.0248093654848144
0.9225,0.0256856173418233
0.925,0.027573503227215
0.9275,0.030827373992951
0.93,0.0358000380152565
0.9325,0.0426767153794039
0.935,0.0512332665818786
0.9375,0.0607200955063095
0.94,0.0701341437922937
0.9425,0.0785286051944904
0.945,0.0852494433085945
0.9475,0.0901691942212502
0.95,0.0936545126373292
0.9525,0.096213349702955
0.955,0.0980246748431995
0.9575,0.0987437829057068
0.96,0.0978185298900789
0.9625,0.0948322925643194
0.965,0.0897111221333991
0.9675,0.0827004967371063
0.97,0.0742985544677759
0.9725,0.0651557808478369
0.975,0.0559996111713912
0.9775,0.0475258209368734
0.98,0.0402864835703007
0.9825,0.0346315111247306
0.985,0.0306884024874389
0.9875,0.0283219775481328
0.99,0.0271749002854834
0.9925,0.0267667931733131
0.995,0.0266049702800404
0.9975,0.0262951423154523
1,0.0256004762249315
1.0025,0.0244525065198298
1.005,0.0229081847753743
1.0075,0.0210839302811566
1.01,0.0190929847803929
1.0125,0.0170260836001219
1.015,0.0149679304336982
1.0175,0.0129715286712327
1.02,0.0110655545212055
1.0225,0.00928829284110719
1.025,0.00769221599556814
1.0275,0.00632827797377539
1.03,0.00522159186098291
1.0325,0.00437340988743733
1.035,0.0037876468535145
1.0375,0.00349833366293495
1.04,0.00358688736682077
1.0425,0.0041770740536317
1.045,0.00542824928275026
1.0475,0.0075684762211678
1.05,0.0108939493843355
1.0525,0.015639816880286
1.055,0.0218188396023411
1.0575,0.0291523008018618
1.06,0.0371891420641987
1.0625,0.0454935584336152
1.065,0.0535595925546641
1.0675,0.0607246918922947
1.07,0.066355899716102
1.0725,0.0700753854736737
1.075,0.071741286276191
1.0775,0.0712522301876898
1.08,0.0685456498715805
1.0825,0.0637725928137293
1.085,0.0573536958997479
1.0875,0.0498306132292563
1.09,0.041783610457319
1.0925,0.0337815124401494
1.095,0.0263194115270515
1.0975,0.0197643189995775
1.1,0.0143379584880428
1.1025,0.010133880169627
1.105,0.0071202831015116
1.1075,0.00514860758359099
1.11,0.00400169394977158
1.1125,0.00345553777681113
1.115,0.00329988381706388
1.1175,0.00335818289269552
1.12,0.00350817840711535
1.1225,0.00368235621547801
1.125,0.00384034057852489
1.1275,0.00395565280348227
1.13,0.00401834145613087
1.1325,0.00403588668486829
1.135,0.00402054548585796
1.1375,0.00398713405767394
1.14,0.00394888231218768
1.1425,0.00391148199799213
1.145,0.00388463813764484
1.1475,0.00387675103323863
1.15,0.00387978647737672
1.1525,0.00387932871526241
1.155,0.00387538524302652
1.1575,0.00386397918799118
