//DATASET,
//created,Wed, 25 Apr 2018 21:18:42 GMT

//TRACE,Waveform,Input 1 
//SampledBand
#Time,Power
#(ns),(µW)
0.24,357.909345699694
0.2425,531.36619771779
0.245,641.327097049899
0.2475,687.830483070926
0.25,702.104923058382
0.2525,704.580765708902
0.255,705.115462789225
0.2575,705.359586488361
0.26,705.108023639982
0.2625,705.49774019452
0.265,705.452285202066
0.2675,705.299594937955
0.27,705.46437351703
0.2725,705.274442160344
0.275,705.238690085721
0.2775,705.330654997391
0.28,705.299226531247
0.2825,705.338284796721
0.285,705.155534197938
0.2875,705.358440676918
0.29,705.522419029643
0.2925,705.358629838592
0.295,705.25114393814
0.2975,705.409211616485
0.3,705.42714305338
0.3025,705.393547138991
0.305,705.124933874584
0.3075,703.700587962949
0.31,696.963130210441
0.3125,674.331475947425
0.315,620.071030500082
0.3175,532.821962863466
0.32,436.472106810215
0.3225,367.84030275352
0.325,335.410654897289
0.3275,324.976518302399
0.33,322.659885026056
0.3325,323.006322094226
0.335,323.128126208677
0.3375,322.668250387234
0.34,322.837837832142
0.3425,323.231021188001
0.345,323.368268052619
0.3475,326.568319063701
0.35,341.939581521408
0.3525,384.248352719129
0.355,466.52747623431
0.3575,567.164792484866
0.36,646.346080346324
0.3625,687.369096518998
0.365,701.697755662465
0.3675,704.798860603023
0.37,705.204935804813
0.3725,705.237048236794
0.375,705.463329473423
0.3775,705.403756503728
0.38,705.658953470855
0.3825,705.366998461817
0.385,705.179487893016
0.3875,703.069136146712
0.39,693.375624677519
0.3925,662.662517917661
0.395,596.234463359682
0.3975,497.340957533106
0.4,402.304128488925
0.4025,345.181801809405
0.405,324.524174515082
0.4075,321.351144277551
0.41,322.622120944631
0.4125,322.753781212271
0.415,322.661411116147
0.4175,322.661867936454
0.42,322.74041063412
0.4225,322.609308314459
0.425,322.819209015925
0.4275,324.765868457231
0.43,336.245250846325
0.4325,375.456866650346
0.435,475.109711637239
0.4375,643.27538311948
0.44,814.569971575008
0.4425,916.077352233456
0.445,954.708999341686
0.4475,965.651126437748
0.45,968.002426501967
0.4525,968.366831662279
0.455,968.401921935602
0.4575,968.404428316575
0.46,968.403589840505
0.4625,968.386854493963
0.465,968.214650176237
0.4675,966.977581418022
0.47,960.391682828622
0.4725,933.525645515453
0.475,844.04907483886
0.4775,634.521215336836
0.48,355.268436123982
0.4825,157.71231507975
0.485,76.1601866444256
0.4875,51.656022219679
0.49,45.8163594790388
0.4925,44.8082281699282
0.495,44.5693867347697
0.4975,44.3997157917692
0.5,44.5285808539706
0.5025,44.7062488598903
0.505,44.5762364203179
0.5075,45.1846853756537
0.51,48.686183291154
0.5125,65.7732826943744
0.515,129.088142812505
0.5175,300.773861491711
0.52,579.921557200319
0.5225,815.780173580831
0.525,924.477922127127
0.5275,958.235600098317
0.53,966.522182397549
0.5325,968.152813918761
0.535,968.37933474376
0.5375,968.403294707405
0.54,968.403922020841
0.5425,968.393259280345
0.545,968.26987286834
0.5475,967.321863146315
0.55,961.993341362596
0.5525,938.972830085727
0.555,858.117773291967
0.5575,656.92577066489
0.56,371.738183253071
0.5625,164.155423772626
0.565,77.2829863091187
0.5675,51.9290432398277
0.57,45.9110166177773
0.5725,44.6633166951896
0.575,44.5545018025752
0.5775,44.706525344951
0.58,44.6498236020133
0.5825,44.7810708186036
0.585,44.7008635897841
0.5875,46.0069937326472
0.59,52.9440190026864
0.5925,77.6552853811047
0.595,149.064278220922
0.5975,293.457001163214
0.6,474.832049936117
0.6025,611.850441270045
0.605,677.893205025078
0.6075,699.558322385883
0.61,704.333892358712
0.6125,705.13464930594
0.615,705.104813221811
0.6175,705.458592642463
0.62,705.527070363553
0.6225,705.389303451781
0.625,705.142001667448
0.6275,705.320144788529
0.63,705.158726762498
0.6325,705.215816351594
0.635,705.39017100236
0.6375,705.30817422132
0.64,705.155586614768
0.6425,705.234323077433
0.645,705.235445236903
0.6475,705.375432228451
0.65,705.483440929986
0.6525,705.047454615309
0.655,705.272042719455
0.6575,705.226132024282
0.66,705.357062350388
0.6625,705.240768288644
0.665,705.156125143572
0.6675,705.824496232097
0.67,709.316629131461
0.6725,723.609727339301
0.675,762.025191384888
0.6775,827.921974693116
0.68,896.878493498117
0.6825,941.403736709751
0.685,960.725357783182
0.6875,966.783716998228
0.69,968.166691017337
0.6925,968.380176720393
0.695,968.402981051311
0.6975,968.404605560681
0.7,968.404186123835
0.7025,968.396711562276
0.705,968.319865851785
0.7075,967.768198035459
0.71,965.070229023782
0.7125,955.436561799451
0.715,929.538938815457
0.7175,878.279489402616
0.72,809.609930144855
0.7225,750.93677625261
0.725,719.550140949
0.7275,708.446424315487
0.73,705.641015440117
0.7325,705.224791709078
0.735,705.285690366407
0.7375,705.530836364734
0.74,705.555543874459
